Names,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5
Famouz,543,496,366,127,263.730769230769,1.3551912,0.6117647,0.23388582,263.730769230769,0.9134438,0.67403316,104,66,18.576923,0.19152854,0.12154696,30,1.7127072,12,7,94,37,9,0,3,2,0,0,0
Gemma,572,452,392,185,225.407407407407,1.1530613,0.6,0.32342657,225.407407407407,0.7902098,0.6853147,57,38,26.666666,0.09965035,0.066433564,25,1.5332168,15,17,88,24,8,0,4,2,0,0,0
blaZek1ng,543,448,358,191,235.384615384615,1.2513967,0.57894737,0.35174954,235.384615384615,0.82504606,0.6593002,77,56,29,0.14180478,0.10313076,27,1.6832412,19,4,86,30,6,1,12,1,1,0,0
Ray4c,577,416,459,140,219.296296296296,0.90631807,0.41293532,0.24263431,219.296296296296,0.7209705,0.79549396,83,118,9.518518,0.14384748,0.20450607,24,1.0935875,10,8,74,28,2,0,3,4,1,0,0
gotten,577,407,399,273,199,1.0200502,0.32258064,0.4731369,199,0.70537263,0.6915078,20,42,31.37037,0.034662046,0.072790295,27,1.5008665,11,77,75,21,8,0,8,6,3,0,0
ZesBeeW,491,405,351,86,232.695652173913,1.1538461,0.585034,0.17515275,232.695652173913,0.8248472,0.7148676,86,61,20.130434,0.17515275,0.124236256,29,1.395112,7,5,74,22,8,1,5,0,0,0,0
Eeyore,525,395,349,84,211.36,1.1318052,0.48514852,0.16,211.36,0.75238097,0.6647619,49,52,24.76,0.093333334,0.099047616,27,1.3352381,14,17,76,26,3,0,6,3,1,0,0
RiseN,577,387,420,200,193.37037037037,0.92142856,0.47540984,0.34662044,193.37037037037,0.67071056,0.72790295,58,64,28.296297,0.10051993,0.110918544,23,1.2322357,13,22,61,22,5,0,6,4,3,0,0
deLb,497,385,365,87,230.304347826087,1.0547945,0.54385966,0.1750503,230.304347826087,0.7746479,0.7344064,93,78,22.826086,0.18712273,0.15694165,28,1.2555332,3,7,61,33,7,0,2,0,0,0,0
ValdyN,554,377,417,198,196.269230769231,0.90407676,0.552381,0.35740072,196.269230769231,0.6805054,0.7527076,58,47,21.73077,0.10469314,0.08483755,22,1.2129964,10,22,61,21,4,0,4,2,1,0,0
Lilo,476,376,370,83,229.142857142857,1.0162162,0.49579832,0.17436975,229.142857142857,0.789916,0.7773109,118,120,27.428572,0.24789916,0.25210086,27,1.1995798,7,4,69,24,5,2,2,2,1,0,0
Shiro,543,370,344,220,193,1.0755814,0.5,0.40515652,193,0.68139964,0.6335175,31,31,25.576923,0.057090238,0.057090238,25,1.5009208,15,140,67,15,4,0,4,3,3,0,0
vascaLizz,476,366,325,149,218.952380952381,1.1261538,0.5,0.3130252,218.952380952381,0.76890755,0.6827731,27,27,26.142857,0.05672269,0.05672269,23,1.4852941,13,58,81,20,3,1,4,2,0,0,0
m0rea,491,366,337,229,211.652173913044,1.0860534,0.4144144,0.4663951,211.652173913044,0.74541754,0.6863544,46,65,36.217392,0.09368636,0.13238288,27,1.5845214,7,51,78,21,2,0,5,4,0,0,0
sayoo,491,361,328,173,217.260869565217,1.1006098,0.49484536,0.35234216,217.260869565217,0.7352342,0.6680244,48,49,26.652174,0.09775967,0.09979633,24,1.4867617,13,25,68,19,6,0,10,7,0,0,0
Nay,476,360,333,92,209.761904761905,1.081081,0.53246754,0.19327731,209.761904761905,0.75630254,0.69957983,41,36,26,0.086134456,0.075630255,26,1.3067226,5,9,66,27,3,0,4,3,0,0,0
carrace,536,357,383,140,188.44,0.9321149,0.47297296,0.26119402,188.44,0.6660448,0.7145522,35,39,23.88,0.065298505,0.07276119,22,1.1641791,14,51,61,17,3,0,8,3,1,0,0
asteriskk,572,355,385,311,182.740740740741,0.9220779,0.44186047,0.5437063,182.740740740741,0.6206294,0.6730769,38,48,17.074074,0.066433564,0.08391608,21,1.4388112,9,81,61,15,4,0,5,3,0,1,0
BerserX,462,345,293,198,211.818181818182,1.1774744,0.54320985,0.42857143,211.818181818182,0.7467533,0.63419914,44,37,21.272728,0.0952381,0.08008658,23,1.6536796,9,15,72,12,2,1,2,4,1,0,0
frostmind,491,337,318,94,196.347826086957,1.0597484,0.5483871,0.19144602,196.347826086957,0.6863544,0.6476578,34,28,27.826086,0.06924643,0.057026476,25,1.2688391,9,30,62,13,2,0,6,1,0,0,0
Flynch,417,331,330,74,233.476190476191,1.0030303,0.57342654,0.17745803,233.476190476191,0.793765,0.79136693,82,61,23.904762,0.19664268,0.14628297,27,1.1822542,8,5,58,26,4,0,4,0,0,1,0
k1ngkappa,383,317,299,55,237.777777777778,1.0602007,0.5416667,0.14360313,237.777777777778,0.82767624,0.78067887,78,66,25,0.20365535,0.17232376,30,1.237598,3,6,48,24,6,0,3,0,1,0,0
NcSlasher,491,316,347,187,188.913043478261,0.91066283,0.47297296,0.3808554,188.913043478261,0.64358455,0.70672095,35,39,21.47826,0.071283095,0.07942974,22,1.2545825,12,55,56,11,2,0,4,1,1,0,0
no1syboy,476,315,333,164,193,0.9459459,0.43283582,0.34453782,193,0.6617647,0.69957983,29,38,20.285715,0.06092437,0.079831935,22,1.2689075,16,30,55,18,1,0,4,1,1,0,0
adrnking,523,310,346,255,169.8,0.8959538,0.40816328,0.48757172,169.8,0.5927342,0.66156787,20,29,26.8,0.038240917,0.05544933,20,1.3499044,12,63,48,15,3,0,7,2,0,0,0
mikasa,476,308,308,239,191.666666666667,1,0.53488374,0.5021008,191.666666666667,0.64705884,0.64705884,23,20,21.857143,0.04831933,0.042016808,30,1.5021008,11,49,67,10,2,0,7,2,0,0,0
SEVERiNE,543,307,365,179,167.5,0.84109586,0.3875,0.3296501,167.5,0.56537753,0.6721915,31,49,18.346153,0.057090238,0.09023941,20,1.1160221,12,21,49,13,2,0,7,3,1,0,0
RIZKYMD,417,288,308,152,198.571428571429,0.9350649,0.43373495,0.3645084,198.571428571429,0.6906475,0.73860914,36,47,25.142857,0.086330935,0.112709835,24,1.2685851,9,21,47,15,2,1,3,1,0,0,0
aexLiNh0,417,275,292,93,189.095238095238,0.9417808,0.5873016,0.22302158,189.095238095238,0.6594724,0.70023984,37,26,29.571428,0.08872902,0.06235012,22,1.1414868,9,16,55,9,2,0,4,3,0,0,0
klipp,333,273,239,87,230.933333333333,1.1422594,0.56060606,0.26126125,230.933333333333,0.8198198,0.7177177,37,29,26.333334,0.11111111,0.08708709,32,1.4654654,6,9,43,19,8,0,3,2,1,0,0
zhar,383,264,271,175,192.222222222222,0.97416973,0.53571427,0.45691907,192.222222222222,0.68929505,0.7075718,30,26,22.666666,0.07832898,0.067885116,31,1.4203656,6,40,51,9,2,1,6,0,2,0,0
Dragyy,333,260,257,109,222.866666666667,1.0116731,0.51648355,0.32732734,222.866666666667,0.7807808,0.7717718,47,44,24.666666,0.14114115,0.13213213,35,1.3453454,5,12,48,15,6,1,3,1,0,0,0
xyNe,383,238,275,146,185.944444444445,0.86545455,0.375,0.38120106,185.944444444445,0.6214099,0.7180157,21,35,24.055555,0.054830287,0.091383815,22,1.1879896,4,35,38,10,1,0,4,1,0,0,0
Kuroza,417,235,300,130,159.952380952381,0.78333336,0.41304347,0.3117506,159.952380952381,0.56354916,0.7194245,19,27,28.380953,0.04556355,0.0647482,21,1,5,65,46,7,3,0,5,3,0,0,0
naTz,341,228,257,86,196.588235294118,0.8871595,0.42465752,0.2521994,196.588235294118,0.6686217,0.7536657,31,42,26.411764,0.09090909,0.12316716,20,1.0821115,0,19,47,9,1,0,3,1,0,0,0
heyNF,333,208,244,105,176.066666666667,0.852459,0.43396226,0.3153153,176.066666666667,0.6246246,0.7327327,23,30,30.933332,0.06906907,0.09009009,29,1.099099,7,37,38,8,1,0,3,2,0,0,0
P1ERCEE,333,199,234,142,170.333333333333,0.8504273,0.34210527,0.42642644,170.333333333333,0.5975976,0.7027027,13,25,25.8,0.039039038,0.075075075,27,1.2162162,14,41,37,10,0,0,3,1,0,0,0
Rapheleen,282,190,196,94,199.571428571429,0.96938777,0.4918033,0.33333334,199.571428571429,0.67375886,0.69503546,30,31,20.142857,0.10638298,0.10992908,24,1.2907802,7,19,31,12,1,0,4,1,0,0,0
FrizzNatsz,245,150,185,46,177.909090909091,0.8108108,0.47297296,0.18775511,177.909090909091,0.6122449,0.75510204,35,39,25.09091,0.14285715,0.15918367,30,0.90204084,2,6,29,5,1,1,3,0,0,0,0
Nakya,171,143,133,32,239.875,1.0751879,0.5735294,0.1871345,239.875,0.83625734,0.7777778,39,29,31.25,0.22807017,0.16959064,23,1.3040936,1,1,22,9,3,0,1,1,0,0,0
HDE fidelwow,210,134,151,44,170.777777777778,0.8874172,0.37931034,0.20952381,170.777777777778,0.63809526,0.7190476,11,18,23.666666,0.052380953,0.08571429,32,1.0476191,2,6,20,9,0,0,2,2,0,0,0
6ftdeep,135,67,104,24,144.857142857143,0.6442308,0.39130434,0.17777778,144.857142857143,0.4962963,0.77037036,9,14,27.142857,0.06666667,0.1037037,17,0.6296296,3,3,9,3,0,0,2,0,0,0,0
Cud,81,63,48,14,206,1.3125,0.5294118,0.17283951,206,0.7777778,0.5925926,9,8,28,0.11111111,0.09876543,20,1.5432099,1,3,13,5,0,0,2,0,0,0,0
Peekaboo,125,60,89,53,144.4,0.6741573,0.5,0.424,144.4,0.48,0.712,5,5,21.8,0.04,0.04,28,0.96,4,24,12,1,0,0,0,1,0,0,0
Riquee,90,55,72,13,182,0.7638889,0.46666667,0.14444445,182,0.6111111,0.8,7,8,37,0.07777778,0.08888889,15,0.76666665,1,3,10,1,1,0,0,0,0,0,0
roserade,64,42,45,12,189.333333333333,0.93333334,0.46666667,0.1875,189.333333333333,0.65625,0.703125,7,8,24.333334,0.109375,0.125,23,1.09375,0,1,9,1,0,1,0,0,0,0,0
DEWA Margiela,88,42,61,13,148.5,0.6885246,0.45454547,0.14772727,148.5,0.47727272,0.6931818,5,6,22.75,0.056818184,0.06818182,15,0.71590906,2,3,5,1,0,0,1,0,0,0,0
